Item Name,ID,Item Code
POLYTRON PAC09VZ,PAC09VZ,PAC09VZ
POLYTRON PAC09VZI,PAC09VZI,PAC09VZI
POLYTRON PAC09VZS,PAC09VZS,PAC09VZS
POLYTRON PAC09VZSI,PAC09VZSI,PAC09VZSI
POLYTRON PAC12VH,PAC12VH,PAC12VH
POLYTRON PAC12VZ,PAC12VZ,PAC12VZ
POLYTRON PAC12VZS,PAC12VZS,PAC12VZS
POLYTRON PAC18VH,PAC18VH,PAC18VH
POLYTRON PAC18VZ,PAC18VZ,PAC18VZ
POLYTRON PAC18VZS,PAC18VZS,PAC18VZS
POLYTRON PAC24VH,PAC24VH,PAC24VH
PANASONIC 3/8-5/8,PAN3858,PAN3858
,,
PANEL DISPLAY AIR CURTAIN,PANELDISPLAY,PANELDISPLAY
PASIFIC DUCT TAPE LEM,PASIFIC-DTL,PASIFIC-DTL
PASIFIC DUCT TAPE NON LEM,PASIFIC-DTNL,PASIFIC-DTNL
"SHARP 1/4""-3/8"" (0,50-0,60)",PB40509,PB40509
,,
"SAMSUNG - 1WAY WINDFREE PANEL (056, 071) - PC1BWFMAN",PC1BWFMAN,PC1BWFMAN
"SAMSUNG - 360 PANEL EXPOSED, CIRCLE WHITE - PC4NUNMAN",PC4NUNMAN,PC4NUNMAN
PCB AIR CURTAIN,PCB,PCB
DSP PAN CAKE 3/8,PCC38ASTM,PCC38ASTM
,,
DSP PAN CAKE 5/8,PCC58ASTM,PCC58ASTM
,,
POLYTRON PCT2032,PCT2032,PCT2032
POLYTRON PCT3032,PCT3032,PCT3032
POLYTRON PCT5032,PCT5032,PCT5032
OPSIONAL REMOTE WIRED FDT125CSVS,PJA502A800BC,PJA502A800BC
POLYTRON PLD-43CV8869,PLD43CV8869,PLD43CV8869
POLYTRON PLD43UG5959,PLD43UG5959,PLD43UG5959
POLYTRON PRH51R/X,PRH51R/X,PRH51R/X
POLYTRON PSF1032,PSF1032,PSF1032
POLYTRON PSF2032,PSF2032,PSF2032
POLYTRON PSF3032,PSF3032,PSF3032
POLYTRON PSF5032,PSF5032,PSF5032
LG PANEL ZTNQ48LMLA0,PTMCGW0ENCXCOM,PTMCGW0ENCXCOM
LG PANEL PT-TAHG0.ENCXGLO,PTTAHG0ENCXGLO,PTTAHG0ENCXGLO
"MASPION PVC 1/2""",PVC1/2,PVC1/2
,,
OUTDOOR AC SPLIT,PVC1/2 AC,PVC1/2 AC
MASPION PW506,PW506,PW506
POLYTRON PWC-600,PWC600,PWC600
POLYTRON PWC-776,PWC776,PWC776
POLYTRON PWN1076,PWN1076,PWN1076
DAIKIN R32 (3 KG),R320201,R320201
DAIKIN REFRIGERANT R410,R410201,R410201
REFRIGERANT R410A-11.3KG,R410A-11.3KG,R410A-11.3KG
REMOTE AIR CURTAIN,REMOTEAIRCURTAIN,REMOTEAIRCURTAIN
"ZUTTO PANCAKE 1/2"" (0,80)",RODA12,RODA12
,,
"ZUTTO PANCAKE 1/4"" (0,80)",RODA14,RODA14
,,
"ZUTTO PANCAKE 3/4"" (0,90)",RODA34,RODA34
,,
"ZUTTO PANCAKE 3/8"" (0,80)",RODA38,RODA38
,,
"ZUTTO PANCAKE 5/8"" (0,90)",RODA58,RODA58
,,
RIFO PROTECTIVE PIPE,RPS001,RPS001
RIFO STRAIGHT COUPLING,RPS003,RPS003
"RIFO 90"" ELBOW",RPS004,RPS004
"RIFO 90"" FLAT ELBOW",RPS006,RPS006
RIFO REDUCER END CAP,RPS007,RPS007
"RIFO 90"" ENTRY WALL COVER",RPS008,RPS008
GEA RTW-160L-5,RTW160L5,RTW160L5
HITACHI R-VGX48PGD9GBK,RVGX48PGD9GBK,RVGX48PGD9GBK
DAIKIN - OUTDOOR,RXQ12AY14,RXQ12AY14
OUTDOOR SHFC140DY,RZFC140DY14,RZFC140DY14
PANASONIC CORDLESS EARPHONE,RZS300WEK,RZS300WEK
SANSUI S05LL,S05LL,S05LL
SANSUI S09LL,S09LL,S09LL
"ZUTTO 1/4""-1/2"" (0,40-0,51)",S1412,S1412
,,
,,
"ZUTTO 1/4""-3/8"" (0,40-0,45)",S1438,S1438
,,
,,
"ZUTTO 1/4""-5/8"" (0,40-0,61)",S1458,S1458
,,
,,
DAIKIN S2DN200V,S2DN200V,S2DN200V
"ARA 1/4""-3/8"" (0,40-0,40)",SA1438,SA1438
,,
,,
SAMITECH BRAKET 1 PK,SAMITECH1PK,SAMITECH1PK
"SAMITECH BRAKET 2,5 PK",SAMITECH2.5PK,SAMITECH2.5PK
DAIKIN SBFC100DYR,SBFC100DYR,SBFC100DYR
DAIKIN SBFC140DYR,SBFC140DYR,SBFC140DYR
DAIKIN SBFC40DVL,SBFC40DVL,SBFC40DVL
DAIKIN SBFC40DVR,SBFC40DVR,SBFC40DVR
DAIKIN SBFC50DVL,SBFC50DVL,SBFC50DVL
DAIKIN SBFC50DVR,SBFC50DVR,SBFC50DVR
DAIKIN SBFC60DVR,SBFC60DVR,SBFC60DVR
DAIKIN SBFC71DVR,SBFC71DVR,SBFC71DVR
DAIKIN SBFC71DYL,SBFC71DYL,SBFC71DYL
DAIKIN SBFC71DYR,SBFC71DYR,SBFC71DYR
DAIKIN SBFC85DVL,SBFC85DVL,SBFC85DVL
DAIKIN SBFC85DVR,SBFC85DVR,SBFC85DVR
DAIKIN SC100DXYL,SC100DXYL,SC100DXYL
DAIKIN SC50CXVL,SC50CXVL,SC50CXVL
DAIKIN SC71CXVL,SC71CXVL,SC71CXVL
DAIKIN SCC100AYL,SCC100AYL,SCC100AYL
DAIKIN SCC125AYL,SCC125AYL,SCC125AYL
DAIKIN SCC125AYR,SCC125AYR,SCC125AYR
DAIKIN SCC140AYL,SCC140AYL,SCC140AYL
DAIKIN SCC50AVL,SCC50AVL,SCC50AVL
DAIKIN SCC60AVL,SCC60AVL,SCC60AVL
DAIKIN SCC85AVL,SCC85AVL,SCC85AVL
DAIKIN SCC85AYL,SCC85AYL,SCC85AYL
DAIKIN SCC85AYR,SCC85AYR,SCC85AYR
DAIKIN SCE125AYL,SCE125AYL,SCE125AYL
DAIKIN SCE71AVL,SCE71AVL,SCE71AVL
DAIKIN SCFC125DYL,SCFC125DYL,SCFC125DYL
DAIKIN SCFC125DYR,SCFC125DYR,SCFC125DYR
DAIKIN SCFC140DYL,SCFC140DYL,SCFC140DYL
DAIKIN SCFC50DVL,SCFC50DVL,SCFC50DVL
DAIKIN SCFC50DVR,SCFC50DVR,SCFC50DVR
DAIKIN SCFC60DVL,SCFC60DVL,SCFC60DVL
DAIKIN SCFC60DVR,SCFC60DVR,SCFC60DVR
DAIKIN SCFC71DVL,SCFC71DVL,SCFC71DVL
DAIKIN SCFC71DVR,SCFC71DVR,SCFC71DVR
DAIKIN SCFC71DYL,SCFC71DYL,SCFC71DYL
DAIKIN SCFC71DYR,SCFC71DYR,SCFC71DYR
DAIKIN SCFC85DVL,SCFC85DVL,SCFC85DVL
DAIKIN SCFC85DVR,SCFC85DVR,SCFC85DVR
DAIKIN SCFG125AYL,SCFG125AYL,SCFG125AYL
DAIKIN SCFG140AYL,SCFG140AYL,SCFG140AYL
DAIKIN SCFG60AVL,SCFG60AVL,SCFG60AVL
DAIKIN SCFG71AVL,SCFG71AVL,SCFG71AVL
DAIKIN SCFG85AVL,SCFG85AVL,SCFG85AVL
DAIKIN SDMC100AYL,SDMC100AYL,SDMC100AYL
DAIKIN SDMC100AYR,SDMC100AYR,SDMC100AYR
DAIKIN SDMC125AYL,SDMC125AYL,SDMC125AYL
DAIKIN SDMC125AYR,SDMC125AYR,SDMC125AYR
DAIKIN SDMC140AYL,SDMC140AYL,SDMC140AYL
DAIKIN SDMC140AYR,SDMC140AYR,SDMC140AYR
DAIKIN SDMC50AVL,SDMC50AVL,SDMC50AVL
DAIKIN SDMC50AVR,SDMC50AVR,SDMC50AVR
DAIKIN SDMC60AVL,SDMC60AVL,SDMC60AVL
DAIKIN SDMC60AVR,SDMC60AVR,SDMC60AVR
DAIKIN SDMC85AYR,SDMC85AYR,SDMC85AYR
DAIKIN SDMNQ13MVR,SDMNQ13MVR,SDMNQ13MVR
DAIKIN SDMNQ18MVR,SDMNQ18MVR,SDMNQ18MVR
DAIKIN SDMNQ26MYR,SDMNQ26MYR,SDMNQ26MYR
DAIKIN SDMNQ42MYR,SDMNQ42MYR,SDMNQ42MYR
DAIKIN SDN150H,SDN150H,SDN150H
DAIKIN SDR400PY,SDR400PY,SDR400PY
SERVICE FEE,SF,SF
DAIKIN SHFC100DYL,SHFC100DYL,SHFC100DYL
DAIKIN SHFC125DYL,SHFC125DYL,SHFC125DYL
DAIKIN SHFC140DYL,SHFC140DYL,SHFC140DYL
DAIKIN SHFC71DVR,SHFC71DVR,SHFC71DVR
DAIKIN SHNQ30MYL,SHNQ30MYL,SHNQ30MYL
SHARP SJ-X167MG-DP/DB,SJX167MGDPDB,SJX167MGDPDB
MITSUBISHI HEAVY INDUSTRIES SRK05CR,SRK05CR,SRK05CR
MITSUBISHI HEAVY INDUSTRIES SRK05CXP,SRK05CXP,SRK05CXP
MITSUBISHI HEAVY INDUSTRIES SRK09CTR,SRK09CTR,SRK09CTR
MITSUBISHI HEAVY INDUSTRIES SRK09CXP,SRK09CXP,SRK09CXP
MITSUBISHI HEAVY INDUSTRIES SRK10CRS,SRK10CRS,SRK10CRS
MITSUBISHI HEAVY INDUSTRIES SRK10YW,SRK10YW,SRK10YW
MITSUBISHI HEAVY INDUSTRIES SRK10YXP,SRK10YXP,SRK10YXP
MITSUBISHI HEAVY INDUSTRIES SRK12CT,SRK12CT,SRK12CT
MITSUBISHI HEAVY INDUSTRIES SRK12CXP,SRK12CXP,SRK12CXP
MITSUBISHI HEAVY INDUSTRIES SRK18CS,SRK18CS,SRK18CS
MITSUBISHI HEAVY INDUSTRIES SRK18CXP,SRK18CXP,SRK18CXP
MITSUBISHI HEAVY INDUSTRIES SRK18YW,SRK18YW,SRK18YW
MITSUBISHI HEAVY INDUSTRIES SRK18YXP,SRK18YXP,SRK18YXP
MITSUBISHI HEAVY INDUSTRIES SRK24CS,SRK24CS,SRK24CS
MITSUBISHI HEAVY INDUSTRIES SRK24CXP,SRK24CXP,SRK24CXP
SANDEN SSB-0500,SSB0500,SSB0500
DAIKIN STC-15NV,STC15NV,STC15NV
DAIKIN STC-20NV,STC20NV,STC20NV
DAIKIN STC-25NV,STC25NV,STC25NV
DAIKIN STC-35NV,STC35NV,STC35NV
DAIKIN STC-50NV,STC50NV,STC50NV
DAIKIN STC-50XV,STC50XV,STC50XV
DAIKIN STC-60NV,STC60NV,STC60NV
MASKO STEKER,STEKER,STEKER
DAIKIN STKC-15TV,STKC15TV,STKC15TV
DAIKIN STKC-20TV,STKC20TV,STKC20TV
DAIKIN STKC-25TV,STKC25TV,STKC25TV
DAIKIN STKC-35TV,STKC35TV,STKC35TV
DAIKIN STKC-50TV,STKC50TV,STKC50TV
DAIKIN STKC-60TV,STKC60TV,STKC60TV
DAIKIN STKC71TV,STKC71TV,STKC71TV
DAIKIN STKF-25AV,STKF25AV,STKF25AV
DAIKIN STKF-35AV,STKF35AV,STKF35AV
DAIKIN STKF-50AV,STKF50AV,STKF50AV
DAIKIN STKF-60AV,STKF60AV,STKF60AV
DAIKIN STKM-25SV,STKM25SV,STKM25SV
DAIKIN STKM-35SV,STKM35SV,STKM35SV
DAIKIN STKM-50SV,STKM50SV,STKM50SV
DAIKIN STKM-71SV,STKM71SV,STKM71SV
DAIKIN STKQ-15UV,STKQ15UV,STKQ15UV
DAIKIN STKQ-20UV,STKQ20UV,STKQ20UV
DAIKIN STKQ-25UV,STKQ25UV,STKQ25UV
DAIKIN STKQ-35UV,STKQ35UV,STKQ35UV
DAIKIN STKQ-50UV,STKQ50UV,STKQ50UV
DAIKIN STKQ-60UV,STKQ60UV,STKQ60UV
DAIKIN STKZ25XV,STKZ25XV,STKZ25XV
DAIKIN STKZ35XV,STKZ35XV,STKZ35XV
DAIKIN STKZ50XV,STKZ50XV,STKZ50XV
MASKO STOP KONTAK,STOP KONTAK,STOP KONTAK
DAIKIN STP-15AV9,STP15AV9,STP15AV9
DAIKIN STP-25AV9,STP25AV9,STP25AV9
DAIKIN STV-15CXV,STV15CXV,STV15CXV
DAIKIN STV-20CXV,STV20CXV,STV20CXV
DAIKIN STV-25CXV,STV25CXV,STV25CXV
DAIKIN STV-35CXV,STV35CXV,STV35CXV
DAIKIN STV-50CXV,STV50CXV,STV50CXV
DAIKIN STV-60CXV,STV60CXV,STV60CXV
PANASONIC S/U-18PUB1H5B,SU18PUB1H5B,SU18PUB1H5B
PANASONIC S/U-24PUB1H5B,SU24PUB1H5B,SU24PUB1H5B
PANASONIC S/U-30PUB1H5B,SU30PUB1H5B,SU30PUB1H5B
PANASONIC S/U-36PUB1H8B,SU36PUB1H8B,SU36PUB1H8B
PANASONIC S/U-48PTB1H8,SU48PTB1H8,SU48PTB1H8
PANASONIC S/U-48PUB1H8,SU48PUB1H8,SU48PUB1H8
PANASONIC S/U-60PUB1H8,SU60PUB1H8,SU60PUB1H8
"SUPREME 3X2,5MM",SUPREME3X2.5MM,SUPREME3X2.5MM
,,
,,
DAIKIN SV125DXYL,SV125DXYL,SV125DXYL
DAIKIN SV125DXYR,SV125DXYR,SV125DXYR
DAIKIN SV140DXYL,SV140DXYL,SV140DXYL
DAIKIN SV71CXVL,SV71CXVL,SV71CXVL
DAIKIN SV71CXVR,SV71CXVR,SV71CXVR
DAIKIN SV71CXYL,SV71CXYL,SV71CXYL
DAIKIN SVC100AYL,SVC100AYL,SVC100AYL
DAIKIN SVC125AYL,SVC125AYL,SVC125AYL
DAIKIN SVC125AYR,SVC125AYR,SVC125AYR
DAIKIN SVC140AYL,SVC140AYL,SVC140AYL
DAIKIN SVC85AVL,SVC85AVL,SVC85AVL
DAIKIN SVC85AYL,SVC85AYL,SVC85AYL
DAIKIN SVC85AYR,SVC85AYR,SVC85AYR
DAIKIN SVGR200PV,SVGR200PV,SVGR200PV
DAIKIN SVGR250QV,SVGR250QV,SVGR250QV
SPECTEK WALL FAN 26,SW26,SW26
SHARP SWD-66EHL-BP,SWD66EHLBP,SWD66EHLBP
SHARP SWD-83EHL-SL,SWD83EHLSL,SWD83EHLSL
LG T05EV5,T05EV5,T05EV5
LG T09EV5,T09EV5,T09EV5
LG T12EV5,T12EV5,T12EV5
LG T18EV5,T18EV5,T18EV5
TCL TAC05CSAX5,TAC05CSAX5,TAC05CSAX5
TCL TAC05CSDXA,TAC05CSDXA,TAC05CSDXA
TCL TAC05CSD/XS,TAC05CSDXS,TAC05CSDXS
TCL TAC09CSAX5,TAC09CSAX5,TAC09CSAX5
TCL TAC09CSD/XS,TAC09CSDXS,TAC09CSDXS
TCL TAC12CSAX5,TAC12CSAX5,TAC12CSAX5
TCL TAC12CSD/XS,TAC12CSDXS,TAC12CSDXS
TCL TAC18CSD/XS,TAC18CSDXS,TAC18CSDXS
TCL TAC24CSA,TAC24CSA,TAC24CSA
TCL TAC48CFA,TAC48CFA,TAC48CFA
"TATEYAMA 1/4-1/2""",TATEYAMA1412,TATEYAMA1412
,,
"TATEYAMA 1/4-3/8""",TATEYAMA1438,TATEYAMA1438
,,
"TATEYAMA 1/4-5/8""",TATEYAMA1458,TATEYAMA1458
,,
,,
"TATEYAMA 3/8 - 3/4""",TATEYAMA3834,TATEYAMA3834
,,
"TATEYAMA 3/8 -5/8""",TATEYAMA3858,TATEYAMA3858
,,
TRAY C 40X10 ELECTRO,TCE40x10,TCE40x10
,,
"TC INVERTER 1/4-3/8""",TCIN1438,TCIN1438
,,
,,
TRANSACTION FEE,TF,TF
JASA TRANSPORT,TRANSPORT,TRANSPORT
DAIKIN UCCP35BP,UCCP35BP,UCCP35BP
VECTO INV 1/4 - 1/2,VECTOINV1412,VECTOINV1412
,,
VECTO INV 1/4 - 3/8,VECTOINV1438,VECTOINV1438
,,
VECTO STD 1/4 - 1/2,VECTOSTD1412,VECTOSTD1412
,,
,,
VECTO STD 1/4 - 3/8,VECTOSTD1438,VECTOSTD1438
,,
PEMBELIAN PAKET CAMPAIGN,VPS,VPS
PENGADAAN UNIT AC DAIKIN,VRV DAIKIN,VRV DAIKIN
"WAVIN RUCIKA PVC AW 1/2""",WAVIN1/2,WAVIN1/2
,,
KDK WZ56P-GY,WZ56P-GY,WZ56P-GY
SONY UHD XR-65A80,XR65A80,XR65A80
"YUKKI 1/4-1/2""",YUKKI1412,YUKKI1412
,,
LG ZPNQ24GS1A0.EWGBEVH,ZPNQ24GS1A0.EWGBEVH,ZPNQ24GS1A0.EWGBEVH
LG ZPNQ30GR5E0.EWGBASA,ZPNQ30GR5E0.EWGBASA,ZPNQ30GR5E0.EWGBASA
LG ZPNQ36GT3E0.EWGHASA,ZPNQ36GT3E0.EWGHASA,ZPNQ36GT3E0.EWGHASA
LG ZPNQ48LT3A0.EWGHEVH,ZPNQ48LT3A0.EWGHEVH,ZPNQ48LT3A0.EWGHEVH
LG ZTNQ18GTLA0,ZTNQ18GTLA0,ZTNQ18GTLA0
LG ZTNQ24GTLA0,ZTNQ24GTLA0,ZTNQ24GTLA0
LG INDOOR ZTNQ24GTLA0.ENWHASA,ZTNQ24GTLA0ENWHASA,ZTNQ24GTLA0ENWHASA
LG ZTNQ48GYLA0,ZTNQ48GYLA0,ZTNQ48GYLA0
LG ZTNQ48LMLA0,ZTNQ48LMLA0,ZTNQ48LMLA0
LG OUTDOOR ZUAC1.EWGHASA,ZUAC1EWGHASA,ZUAC1EWGHASA
ZUTTO DUCT TAPE LEM,ZUTTO-DTL,ZUTTO-DTL
ZUTTO DUCT TAPE NON LEM,ZUTTO-DTNL,ZUTTO-DTNL
ZUTTO DUCT TAPE NON LEM CREAM,ZUTTO-DTNL-CR,ZUTTO-DTNL-CR
ZUTTO BRAKET 1 PK,ZUTTO1PK,ZUTTO1PK
"ZUTTO BRAKET 2,5 PK",ZUTTO2.5PK,ZUTTO2.5PK
ZUTTO CAR PURIFIER BLACK,ZUTTOCPURI-BLACK,ZUTTOCPURI-BLACK
ZUTTO CAR PURIFIER GREY,ZUTTOCPURI-GREY,ZUTTOCPURI-GREY
ZUTTO NECKLACE PURIFIER BLACK,ZUTTONCKLPURI-BLACK,ZUTTONCKLPURI-BLACK
ZUTTO NECKLACE PURIFIER WHITE,ZUTTONCKLPURI-WHITE,ZUTTONCKLPURI-WHITE
ZUTTO SPORT PURIFIER,ZUTTOSPURI,ZUTTOSPURI
