,Terms and Conditions,Supplier,Date,Branch,Supplier Invoice No,Supplier Invoice Date,Faktur Pajak No,Payment Terms Template,Item (Items),Item Name (Items),Accepted Qty (Items),Rate (Items),UOM (Items),Purchase Order (Items),Purchase Order Item (Items),Purchase Receipt (Items),Purchase Receipt Detail (Items),Account Head (Purchase Taxes and Charges),Add or Deduct (Purchase Taxes and Charges),Consider Tax or Charge for (Purchase Taxes and Charges),Description (Purchase Taxes and Charges),Type (Purchase Taxes and Charges),Is this Tax included in Basic Rate? (Purchase Taxes and Charges),Is Tax Withholding Account (Purchase Taxes and Charges),Reference Type (Advances),Reference Name (Advances),Allocated Amount (Advances),Advance amount (Advances)
96,PI.2025.01.00177,CV ALLEND,24/01/2025,BALI,0125/177,,04002500010902037,,,,1,,,PO.2025.01.00154,,,,,,,,,,,,,,
97,PI.2025.01.00178,PT MIDEA PLANET INDONESIA,31/01/2025,SURABAYA,0125/178,,,,MSIAF09CRDN2X,MIDEA MSIAF09CRDN2X,2,,,PO.2025.01.00116,,,,,,,,,,,,,,
98,PI.2025.01.00179,PT MIDEA PLANET INDONESIA,31/01/2025,SURABAYA,0125/179,,,,MSFC09CRN2X,MIDEA MSFC09CRN2X,5,,,PO.2025.01.00024,,,,,,,,,,,,,,
99,PI.2025.01.00179,PT MIDEA PLANET INDONESIA,31/01/2025,SURABAYA,0125/179,,,,MSFC05CRN2X,MIDEA MSFC05CRN2X,10,,,PO.2025.01.00024,,,,,,,,,,,,,,
100,PI.2025.01.00183,PT SHARP ELECTRONICS INDONESIA,31/01/2025,BALI,0125/182,,04002500014539560,,AHA5BEY,SHARP AH-A5BEY,10,,,PO.2025.01.00157,,,,,,,,,,,,,,
101,PI.2025.01.00183,PT SHARP ELECTRONICS INDONESIA,31/01/2025,BALI,0125/182,,04002500014539560,,AHA9BEY,SHARP AH-A9BEY,10,,,PO.2025.01.00157,,,,,,,,,,,,,,
102,PI.2025.01.00184,PT SHARP ELECTRONICS INDONESIA,31/01/2025,BALI,0125/183,,04002500014539573,,AHA5BEY,SHARP AH-A5BEY,15,,,PO.2025.01.00157,,,,,,,,,,,,,,
103,PI.2025.01.00184,PT SHARP ELECTRONICS INDONESIA,31/01/2025,BALI,0125/183,,04002500014539573,,AHA9BEY,SHARP AH-A9BEY,15,,,PO.2025.01.00157,,,,,,,,,,,,,,
104,PI.2025.01.00130,PT SHOPEE INTERNATIONAL INDONESIA,01/01/2025,SURABAYA,0125/129,,040.001-25.08839303,,BA,BIAYA ADMINISTRASI,1,,,PO.2025.01.00123,,,,,,,,,,,,,,
105,PI.2025.01.00187,CV MULTI GUNA SELARAS,31/01/2025,SURABAYA,0125/186,,04002500014919048,,SRK05CR,MITSUBISHI HEAVY INDUSTRIES SRK05CR,1,,,PO.2025.01.00151,,,,,,,,,,,,,,
106,PI.2025.01.00187,CV MULTI GUNA SELARAS,31/01/2025,SURABAYA,0125/186,,04002500014919048,,SRK18CS,MITSUBISHI HEAVY INDUSTRIES SRK18CS,2,,,PO.2025.01.00151,,,,,,,,,,,,,,
107,PI.2025.01.00188,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/187,,04002500014893185,,PAC05VH,POLYTRON PAC05VH,50,,,PO.2025.01.00019,,,,,,,,,,,,,,
108,PI.2025.01.00023,PT CHANGHONG MEILING ELECTRIC INDONESIA,08/01/2025,SURABAYA,0125/023,,04002500025760661,,CSC09NVC4,CHANGHONG CSC-09NVC4,15,,,PO.2025.01.00006,,,,,,,,,,,,,,
109,PI.2025.01.00189,PT DAIKIN AIRCONDITIONING INDONESIA,31/01/2025,SURABAYA,0125/189,,04002500013944532,,STC15NV,DAIKIN STC-15NV,15,,,PO.2025.01.00142,,,,,,,,,,,,,,
110,PI.2025.01.00190,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/188,,04002500014893188,,PAC05VZI,POLYTRON PAC05VZI,11,,,PO.2025.01.00148,,,,,,,,,,,,,,
111,PI.2025.01.00190,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/188,,04002500014893188,,PAC05VZSI,POLYTRON PAC05VZSI,11,,,PO.2025.01.00148,,,,,,,,,,,,,,
112,PI.2025.01.00190,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/188,,04002500014893188,,PAC09VZI,POLYTRON PAC09VZI,5,,,PO.2025.01.00148,,,,,,,,,,,,,,
113,PI.2025.01.00190,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/188,,04002500014893188,,PAC09VZSI,POLYTRON PAC09VZSI,3,,,PO.2025.01.00148,,,,,,,,,,,,,,
114,PI.2025.01.00024,PT DAIKIN AIRCONDITIONING INDONESIA,07/01/2025,SURABAYA,0125/024,,04002500005683864,,STC15NV,DAIKIN STC-15NV,5,,,PO.2025.01.00016,,,,,,,,,,,,,,
115,PI.2025.01.00024,PT DAIKIN AIRCONDITIONING INDONESIA,07/01/2025,SURABAYA,0125/024,,04002500005683864,,STC35NV,DAIKIN STC-35NV,3,,,PO.2025.01.00016,,,,,,,,,,,,,,
116,PI.2025.01.00024,PT DAIKIN AIRCONDITIONING INDONESIA,07/01/2025,SURABAYA,0125/024,,04002500005683864,,STKC35TV,DAIKIN STKC-35TV,1,,,PO.2025.01.00016,,,,,,,,,,,,,,
117,PI.2025.01.00029,CV MULTI GUNA SELARAS,09/01/2025,SURABAYA,0125/029,,04002500008282189,,SRK09CXP,MITSUBISHI HEAVY INDUSTRIES SRK09CXP,6,,,PO.2025.01.00037,,,,,,,,,,,,,,
118,PI.2025.01.00024,PT DAIKIN AIRCONDITIONING INDONESIA,07/01/2025,SURABAYA,0125/024,,04002500005683864,,STV50CXV,DAIKIN STV-50CXV,2,,,PO.2025.01.00016,,,,,,,,,,,,,,
119,PI.2025.01.00081,PT MIDEA PLANET INDONESIA,16/01/2025,BALI,0125/082,,,,MSFC09CRN2X,MIDEA MSFC09CRN2X,20,,,PO.2025.01.00044,,,,,,,,,,,,,,
120,PI.2025.01.00144,CV MIAMI ELECTRONIC,22/01/2025,SURABAYA,0125/145,,04002500010562575,,FM12512K,GREE FM-1.25-12-K,3,,,PO.2025.01.00117,,,,,,,,,,,,,,
121,PI.2025.01.00163,CV BALLY AIRCOND,30/01/2025,BALI,0125/162,,04002500012164717,,,,15,,,PO.2025.01.00135,,,,,,,,,,,,,,
122,PI.2025.01.00213,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/212,,04002500014892966,,PAC18VH,POLYTRON PAC18VH,50,,,PO.2025.01.00159,,,,,,,,,,,,,,
123,PI.2025.01.00009,PT CATURAGA TIARA PERSADA,06/01/2025,SURABAYA,0125/009,,04002500001601167,,CW0501RA,REIWA CW-0501RA,35,,,PO.2025.01.00009,,,,,,,,,,,,,,
124,PI.2025.01.00028,CV BANDUNG GEMILANG SENTOSA,07/01/2025,SURABAYA,0125/028,,04002500010514969,,GWC12F5S,GREE GWC-12F5S,2,,,PO.2025.01.00029,,,,,,,,,,,,,,
125,PI.2025.01.00028,CV BANDUNG GEMILANG SENTOSA,07/01/2025,SURABAYA,0125/028,,04002500010514969,,GWC12N1A,GREE GWC-12N1A,10,,,PO.2025.01.00029,,,,,,,,,,,,,,
126,PI.2025.01.00028,CV BANDUNG GEMILANG SENTOSA,07/01/2025,SURABAYA,0125/028,,04002500010514969,,GWC18N1A,GREE GWC-18N1A,10,,,PO.2025.01.00029,,,,,,,,,,,,,,
127,PI.2025.01.00028,CV BANDUNG GEMILANG SENTOSA,07/01/2025,SURABAYA,0125/028,,04002500010514969,,GWC09C3ES,GREE GWC-09C3ES,10,,,PO.2025.01.00029,,,,,,,,,,,,,,
128,PI.2025.01.00028,CV BANDUNG GEMILANG SENTOSA,07/01/2025,SURABAYA,0125/028,,04002500010514969,,GWC09F5S,GREE GWC-09F5S,8,,,PO.2025.01.00029,,,,,,,,,,,,,,
129,PI.2025.01.00130,PT SHOPEE INTERNATIONAL INDONESIA,01/01/2025,SURABAYA,0125/129,,040.001-25.08839303,,BPB,BIAYA PEMBAYARAN,1,,,PO.2025.01.00123,,,,,,,,,,,,,,
130,PI.2025.01.00029,CV MULTI GUNA SELARAS,09/01/2025,SURABAYA,0125/029,,04002500008282189,,SRK05CR,MITSUBISHI HEAVY INDUSTRIES SRK05CR,3,,,PO.2025.01.00037,,,,,,,,,,,,,,
131,PI.2025.01.00029,CV MULTI GUNA SELARAS,09/01/2025,SURABAYA,0125/029,,04002500008282189,,SRK09CTR,MITSUBISHI HEAVY INDUSTRIES SRK09CTR,4,,,PO.2025.01.00037,,,,,,,,,,,,,,
132,PI.2025.01.00194,PT DAIKIN AIRCONDITIONING INDONESIA,30/01/2025,BALI,0125/193,,04002500014935246,,STP15AV9,DAIKIN STP-15AV9,12,,,PO.2025.01.00130,,,,,,,,,,,,,,
133,PI.2025.01.00194,PT DAIKIN AIRCONDITIONING INDONESIA,30/01/2025,BALI,0125/193,,04002500014935246,,STP25AV9,DAIKIN STP-25AV9,38,,,PO.2025.01.00130,,,,,,,,,,,,,,
134,PI.2025.01.00184,PT SHARP ELECTRONICS INDONESIA,31/01/2025,BALI,0125/183,,04002500014539573,,AHA9ZCY,SHARP AH-A9ZCY,15,,,PO.2025.01.00157,,,,,,,,,,,,,,
135,PI.2025.01.00183,PT SHARP ELECTRONICS INDONESIA,31/01/2025,BALI,0125/182,,04002500014539560,,AHA9ZCY,SHARP AH-A9ZCY,10,,,PO.2025.01.00157,,,,,,,,,,,,,,
136,PI.2025.01.00195,PT DAIKIN AIRCONDITIONING INDONESIA,30/01/2025,BALI,0125/194,,04002500014935245,,STC15NV,DAIKIN STC-15NV,7,,,PO.2025.01.00131,,,,,,,,,,,,,,
137,PI.2025.01.00139,PT SARANA KENCANA MULYA,23/01/2025,SURABAYA,0125/139,,04002500011153244,,PAC09VZI,POLYTRON PAC09VZI,5,,,PO.2025.01.00126,,,,,,,,,,,,,,
138,PI.2025.01.00139,PT SARANA KENCANA MULYA,23/01/2025,SURABAYA,0125/139,,04002500011153244,,PAC09VH,POLYTRON PAC09VH,20,,,PO.2025.01.00019,,,,,,,,,,,,,,
139,PI.2025.01.00182,PT SARANA KENCANA MULYA,23/01/2025,BALI,0125/181,,04002500011153245,,PAC18VZ,POLYTRON PAC18VZ,5,,,PO.2025.01.00126,,,,,,,,,,,,,,
140,PI.2025.01.00013,PT SARANA KENCANA MULYA,07/01/2025,SURABAYA,0125/013,,04002500005074986,,PAC18VH,POLYTRON PAC18VH,15,,,PO.2025.01.00020,,,,,,,,,,,,,,
141,PI.2025.01.00087,,14/01/2025,SURABAYA,0125/088,,,,S1438,"ZUTTO 1/4""-3/8"" (0,40-0,45)",190,,,PO.2024.12.00038,,,,,,,,,,,,,,
142,PI.2025.01.00151,PT LG ELECTRONICS INDONESIA,25/01/2025,SURABAYA,0125/150,,040.003-25.14051236,,T12EV5,LG T12EV5,7,,,PO.2025.01.00032,,,,,,,,,,,,,,
143,PI.2025.01.00088,SAMI JAYA,24/01/2025,SURABAYA,0125/089,,04002500009536626,,,,30,,,PO.2025.01.00070,,,,,,,,,,,,,,
144,PI.2025.01.00089,CV BANDUNG GEMILANG SENTOSA,15/01/2025,SURABAYA,0125/090,,04002500010514888,,,,1,,,PO.2025.01.00074,,,,,,,,,,,,,,
145,PI.2025.01.00087,,14/01/2025,SURABAYA,0125/088,,,,A1412,"ARA 1/4""-1/2"" (0,60-0,60)",52,,,PO.2024.12.00038,,,,,,,,,,,,,,
146,PI.2025.01.00087,,14/01/2025,SURABAYA,0125/088,,,,H3858,"HONSHU 3/8""-5/8"" (0,61-0,71)",1,,,PO.2024.12.00038,,,,,,,,,,,,,,
147,PI.2025.01.00087,,14/01/2025,SURABAYA,0125/088,,,,H3834,"HONSHU 3/8""-3/4"" (0,65-0,89)",19,,,PO.2024.12.00038,,,,,,,,,,,,,,
148,PI.2025.01.00087,,14/01/2025,SURABAYA,0125/088,,,,S1438,"ZUTTO 1/4""-3/8"" (0,40-0,45)",150,,,PO.2024.12.00038,,,,,,,,,,,,,,
149,PI.2025.01.00094,CV MIAMI ELECTRONIC,16/01/2025,SURABAYA,0125/096,,04002500003209055,,GWC0707CS,GREE GWC0707CS,1,,,PO.2025.01.00089,,,,,,,,,,,,,,
150,PI.2025.01.00091,CV BALLY AIRCOND,17/01/2025,BALI,0125/093,,04002500002972789,,GWC18N1A,GREE GWC-18N1A,15,,,PO.2025.01.00092,,,,,,,,,,,,,,
151,PI.2025.01.00068,PT AKARI INDONESIA,15/01/2025,BALI,0125/073,,04002500009787566,,A09TC88NLW,AKARI A09TC88NLW,10,,,PO.2025.01.00079,,,,,,,,,,,,,,
152,PI.2025.01.00169,PT AKARI INDONESIA,30/01/2025,SURABAYA,0125/168,,04002500014827459,,A09TC88NLW,AKARI A09TC88NLW,5,,,PO.2025.01.00111,,,,,,,,,,,,,,
153,PI.2025.01.00196,PT PANASONIC GOBEL INDONESIA,31/01/2025,SURABAYA,0125/195,,04002500015090267,,CSCUZN5YKP,PANASONIC CS/CU-ZN5YKP,50,,,PO.2025.01.00090,,,,,,,,,,,,,,
154,PI.2025.01.00196,PT PANASONIC GOBEL INDONESIA,31/01/2025,SURABAYA,0125/195,,04002500015090267,,CSCUZN7YKP,PANASONIC CS/CU-ZN7YKP,50,,,PO.2025.01.00090,,,,,,,,,,,,,,
155,PI.2025.01.00196,PT PANASONIC GOBEL INDONESIA,31/01/2025,SURABAYA,0125/195,,04002500015090267,,CSCUZN9YKP,PANASONIC CS/CU-ZN9YKP,150,,,PO.2025.01.00090,,,,,,,,,,,,,,
156,PI.2025.01.00132,PT MEGAH PERTAMA INDAH,23/01/2025,SURABAYA,0125/131,,04002500011500764,,,,1,,,PO.2025.01.00124,,,,,,,,,,,,,,
157,PI.2025.01.00130,PT SHOPEE INTERNATIONAL INDONESIA,01/01/2025,SURABAYA,0125/129,,040.001-25.08839303,,BL,BIAYA LAYANAN,1,,,PO.2025.01.00123,,,,,,,,,,,,,,
158,PI.2025.01.00031,PT DAIKIN AIRCONDITIONING INDONESIA,08/01/2025,BALI,0125/031,,04002500014933427,,STC25NV,DAIKIN STC-25NV,8,,,PO.2025.01.00022,,,,,,,,,,,,,,
159,PI.2025.01.00031,PT DAIKIN AIRCONDITIONING INDONESIA,08/01/2025,BALI,0125/031,,04002500014933427,,STC35NV,DAIKIN STC-35NV,7,,,PO.2025.01.00022,,,,,,,,,,,,,,
160,PI.2025.01.00031,PT DAIKIN AIRCONDITIONING INDONESIA,08/01/2025,BALI,0125/031,,04002500014933427,,STC50XV,DAIKIN STC-50XV,15,,,PO.2025.01.00022,,,,,,,,,,,,,,
161,PI.2025.01.00031,PT DAIKIN AIRCONDITIONING INDONESIA,08/01/2025,BALI,0125/031,,04002500014933427,,STKQ20UV,DAIKIN STKQ-20UV,2,,,PO.2025.01.00022,,,,,,,,,,,,,,
162,PI.2025.01.00031,PT DAIKIN AIRCONDITIONING INDONESIA,08/01/2025,BALI,0125/031,,04002500014933427,,STKQ50UV,DAIKIN STKQ-50UV,2,,,PO.2025.01.00022,,,,,,,,,,,,,,
163,PI.2025.01.00031,PT DAIKIN AIRCONDITIONING INDONESIA,08/01/2025,BALI,0125/031,,04002500014933427,,STV35CXV,DAIKIN STV-35CXV,7,,,PO.2025.01.00022,,,,,,,,,,,,,,
164,PI.2025.01.00070,CV BANDUNG GEMILANG SENTOSA,14/01/2025,SURABAYA,0125/075,,04002500015431114,,GWC0707CS,GREE GWC0707CS,1,,,PO.2025.01.00067,,,,,,,,,,,,,,
165,PI.2025.01.00001,PT DAIKIN AIRCONDITIONING INDONESIA,03/01/2025,SURABAYA,0125/001,,04002500005683850,,SVC100AYL,DAIKIN SVC100AYL,1,,,PO.2025.01.00001,,,,,,,,,,,,,,
166,PI.2025.01.00002,PT DAIKIN AIRCONDITIONING INDONESIA,03/01/2025,SURABAYA,0125/002,,04002500005683904,,STC50XV,DAIKIN STC-50XV,10,,,PO.2025.01.00002,,,,,,,,,,,,,,
167,PI.2025.01.00070,CV BANDUNG GEMILANG SENTOSA,14/01/2025,SURABAYA,0125/075,,04002500015431114,,GWC12F5S,GREE GWC-12F5S,2,,,PO.2025.01.00067,,,,,,,,,,,,,,
168,PI.2025.01.00161,CV BANDUNG GEMILANG SENTOSA,23/01/2025,SURABAYA,0125/159,,04002500010514805,,GU140TAK,GREE GU140T/A-K,1,,,PO.2025.01.00122,,,,,,,,,,,,,,
169,PI.2025.01.00003,PT DAIKIN AIRCONDITIONING INDONESIA,03/01/2025,SURABAYA,0125/003,,04002500005683874,,STC20NV,DAIKIN STC-20NV,5,,,PO.2025.01.00003,,,,,,,,,,,,,,
170,PI.2025.01.00003,PT DAIKIN AIRCONDITIONING INDONESIA,03/01/2025,SURABAYA,0125/003,,04002500005683874,,STKC25TV,DAIKIN STKC-25TV,2,,,PO.2025.01.00003,,,,,,,,,,,,,,
171,PI.2025.01.00003,PT DAIKIN AIRCONDITIONING INDONESIA,03/01/2025,SURABAYA,0125/003,,04002500005683874,,STV50CXV,DAIKIN STV-50CXV,6,,,PO.2025.01.00003,,,,,,,,,,,,,,
172,PI.2025.01.00156,CV JAYA ARTHA SEJAHTERA,28/01/2025,SURABAYA,0125/155,,04002500017598561,,ZUTTO1PK,ZUTTO BRAKET 1 PK,2600,,,PO.2025.01.00076,,,,,,,,,,,,,,
173,PI.2025.01.00159,CV JAYA ARTHA SEJAHTERA,28/01/2025,SURABAYA,0125/157,,04002500017600337,,ZUTTO1PK,ZUTTO BRAKET 1 PK,2440,,,PO.2025.01.00076,,,,,,,,,,,,,,
174,PI.2025.01.00011,PT DAIKIN AIRCONDITIONING INDONESIA,07/01/2025,SURABAYA,0125/011,,04002500005683873,,STV60CXV,DAIKIN STV-60CXV,14,,,PO.2025.01.00008,,,,,,,,,,,,,,
175,PI.2025.01.00031,PT DAIKIN AIRCONDITIONING INDONESIA,08/01/2025,BALI,0125/031,,04002500014933427,,STKC25TV,DAIKIN STKC-25TV,2,,,PO.2025.01.00022,,,,,,,,,,,,,,
176,PI.2025.01.00036,CV MULTI GUNA SELARAS,11/01/2025,SURABAYA,0125/036,,04002500008282163,,FDF125CSV,MITSUBISHI HEAVY INDUSTRIES FDF125CSV,1,,,PO.2025.01.00050,,,,,,,,,,,,,,
177,PI.2025.01.00038,PT SARANA KENCANA MULYA,11/01/2025,SURABAYA,0125/038,,04002500005075040,,PAC05VH,POLYTRON PAC05VH,72,,,PO.2025.01.00019,,,,,,,,,,,,,,
178,PI.2025.01.00034,PT MIDEA PLANET INDONESIA,10/01/2025,SURABAYA,0125/034,,04002500003134865,,MSFC05CRN2X,MIDEA MSFC05CRN2X,20,,,PO.2025.01.00024,,,,,,,,,,,,,,
179,PI.2025.01.00037,PT CHANGHONG MEILING ELECTRIC INDONESIA,11/01/2025,SURABAYA,0125/037,,04002500025760649,,CSC05NVB4,CHANGHONG CSC-05NVB4,50,,,PO.2024.11.00069,,,,,,,,,,,,,,
180,PI.2025.01.00033,CV BANDUNG GEMILANG SENTOSA,09/01/2025,SURABAYA,0125/033,,04002500008659171,,GWC09MOO5S,GREE GWC-09MOO5S,19,,,PO.2025.01.00038,,,,,,,,,,,,,,
181,PI.2025.01.00032,PT PANASONIC GOBEL INDONESIA,10/01/2025,SURABAYA,0125/032,,04002500004352295,,FEU409A2,PANASONIC F-EU409-A2,10,,,PO.2025.01.00039,,,,,,,,,,,,,,
182,PI.2025.01.00197,CV BANDUNG GEMILANG SENTOSA,31/01/2025,SURABAYA,0125/196,,04002500034316759,,FGR20PDDNAX,GREE FGR20PDDNAX,3,,,PO.2025.01.00158,,,,,,,,,,,,,,
183,PI.2025.01.00197,CV BANDUNG GEMILANG SENTOSA,31/01/2025,SURABAYA,0125/196,,04002500034316759,,GU140PHS,GREE GU140PHS,2,,,PO.2025.01.00158,,,,,,,,,,,,,,
184,PI.2025.01.00197,CV BANDUNG GEMILANG SENTOSA,31/01/2025,SURABAYA,0125/196,,04002500034316759,,GU71PHS,GREE GU71PHS,2,,,PO.2025.01.00158,,,,,,,,,,,,,,
185,PI.2025.01.00035,PT MIDEA PLANET INDONESIA,10/01/2025,SURABAYA,0125/035,,04002500003134864,,MSAF05CRN2,MIDEA MSAF05CRN2,100,,,PO.2025.01.00028,,,,,,,,,,,,,,
186,PI.2025.01.00040,PT CATURAGA TIARA PERSADA,13/01/2025,SURABAYA,0125/041,,04002500009937766,,CW0501RA,REIWA CW-0501RA,35,,,PO.2025.01.00009,,,,,,,,,,,,,,
187,PI.2025.01.00024,PT DAIKIN AIRCONDITIONING INDONESIA,07/01/2025,SURABAYA,0125/024,,04002500005683864,,STV15CXV,DAIKIN STV-15CXV,5,,,PO.2025.01.00016,,,,,,,,,,,,,,
188,PI.2025.01.00042,PT ECART WEBPORTAL INDONESIA,01/01/2025,SURABAYA,0125/045,,040.002-25.94034753,,BA,BIAYA ADMINISTRASI,1,,,PO.2025.01.00062,,,,,,,,,,,,,,
189,PI.2025.01.00043,PT TRIMASTER JAYA ABADI,13/01/2025,SURABAYA,0125/042,,04002500009882799,,GEVER1438,"GEVER INVERTER 1/4-3/8""",8,,,PO.2025.01.00058,,,,,,,,,,,,,,
190,PI.2025.01.00041,CV BALLY AIRCOND,11/01/2025,BALI,0125/040,,04002500000947162,,GWC09MOO5S,GREE GWC-09MOO5S,15,,,PO.2025.01.00042,,,,,,,,,,,,,,
191,PI.2025.01.00043,PT TRIMASTER JAYA ABADI,13/01/2025,SURABAYA,0125/042,,04002500009882799,,GEVER1412,"GEVER INVERTER 1/4-1/2""",3,,,PO.2025.01.00058,,,,,,,,,,,,,,
192,PI.2025.01.00041,CV BALLY AIRCOND,11/01/2025,BALI,0125/040,,04002500000947162,,GWC09F5S,GREE GWC-09F5S,5,,,PO.2025.01.00042,,,,,,,,,,,,,,
193,PI.2025.01.00041,CV BALLY AIRCOND,11/01/2025,BALI,0125/040,,04002500000947162,,GWC07MOO5S,GREE GWC-07MOO5S,5,,,PO.2025.01.00042,,,,,,,,,,,,,,
194,PI.2025.01.00214,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/213,,04002500014892950,,PAC09VZI,POLYTRON PAC09VZI,10,,,PO.2025.01.00148,,,,,,,,,,,,,,
195,PI.2025.01.00215,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/214,,04002500014892952,,PAC09VH,POLYTRON PAC09VH,5,,,PO.2025.01.00019,,,,,,,,,,,,,,
