,Instructions,Supplier,Supplier Delivery Note,Date,Posting Time,Branch,Currency,Exchange Rate,Item Code (Items),Item Name (Items),Rate (Company Currency) (Items),Received Quantity (Items),Accepted Quantity (Items),UOM (Items),Accepted Warehouse (Items),Purchase Order (Items),Purchase Order Item (Items),Purchase Invoice (Items),Purchase Invoice Item (Items
273,,PT PANASONIC GOBEL INDONESIA,RI.2025.01.00161,24/01/2025,,SURABAYA,,,CSCUYN7AKJ,PANASONIC CS/CU-YN7AKJ,,30,30,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00047,,,
274,,PT PANASONIC GOBEL INDONESIA,RI.2025.01.00161,24/01/2025,,SURABAYA,,,CSCUYN9AKJ,PANASONIC CS/CU-YN9AKJ,,130,130,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00047,,,
275,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00155,24/01/2025,,SURABAYA,,,STV15CXV,DAIKIN STV-15CXV,,2,2,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00118,,,
276,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00155,24/01/2025,,SURABAYA,,,STV35CXV,DAIKIN STV-35CXV,,7,7,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00118,,,
277,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00155,24/01/2025,,SURABAYA,,,STC20NV,DAIKIN STC-20NV,,3,3,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00118,,,
278,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00155,24/01/2025,,SURABAYA,,,STC35NV,DAIKIN STC-35NV,,10,10,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00118,,,
279,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00155,24/01/2025,,SURABAYA,,,STC50XV,DAIKIN STC-50XV,,10,10,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00118,,,
280,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00155,24/01/2025,,SURABAYA,,,STC25NV,DAIKIN STC-25NV,,5,5,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00118,,,
281,,PT SARANA KENCANA MULYA,RI.2025.01.00146,24/01/2025,,SURABAYA,,,PSF2032,POLYTRON PSF2032,,1,1,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00109,,,
282,,PT PUCANGADI JAYA,RI.2025.01.00160,24/01/2025,,BALI,,,GWC05MOO5S,GREE GWC-05MOO5S,,10,10,SET,GD. UTAMA (BALI) - CBP,PO.2025.01.00119,,,
283,,CV ALLEND,RI.2025.01.00190,24/01/2025,,BALI,,,,,,1,1,SET,GD. UTAMA (BALI) - CBP,PO.2025.01.00153,,,
284,,CV ALLEND,RI.2025.01.00190,24/01/2025,,BALI,,,JASAPEMASANGAN,JASA PEMASANGAN,,1,1,LOT,,PO.2025.01.00153,,,
285,,CV ALLEND,RI.2025.01.00196,24/01/2025,,BALI,,,,,,1,1,SET,GD. UTAMA (BALI) - CBP,PO.2025.01.00152,,,
286,,CV ALLEND,RI.2025.01.00196,24/01/2025,,BALI,,,JASAPEMASANGAN,JASA PEMASANGAN,,1,1,LOT,,PO.2025.01.00152,,,
287,,CV ALLEND,RI.2025.01.00197,24/01/2025,,BALI,,,,,,1,1,SET,GD. UTAMA (BALI) - CBP,PO.2025.01.00154,,,
288,,PT SHARP ELECTRONICS INDONESIA,RI.2025.01.00156,24/01/2025,,BALI,,,AHA18ZCY,SHARP AH-A18ZCY,,5,5,SET,GD. UTAMA (BALI) - CBP,PO.2025.01.00082,,,
289,,PT SHARP ELECTRONICS INDONESIA,RI.2025.01.00157,24/01/2025,,BALI,,,AHAP5BMY,SHARP AH-AP5BMY,,5,5,SET,GD. UTAMA (BALI) - CBP,PO.2025.01.00107,,,
290,,PT SHARP ELECTRONICS INDONESIA,RI.2025.01.00157,24/01/2025,,BALI,,,AHAP9BMY,SHARP AH-AP9BMY,,5,5,SET,GD. UTAMA (BALI) - CBP,PO.2025.01.00107,,,
291,,CV ALLEND,RI.2025.01.00211,24/01/2025,,BALI,,,,,,1,1,SET,GD. UTAMA (BALI) - CBP,PO.2025.02.00092,,,
292,,CV ALLEND,RI.2025.01.00211,24/01/2025,,BALI,,,JASAPEMASANGAN,JASA PEMASANGAN,,1,1,LOT,,PO.2025.02.00092,,,
293,,PT SARANA KENCANA MULYA,RI.2025.01.00159,24/01/2025,,SURABAYA,,,PAC05VH,POLYTRON PAC05VH,,40,40,SET,GD. UTAMA (MDN) - CBP,PO.2025.01.00019,,,
294,,PT SARANA KENCANA MULYA,RI.2025.01.00152,24/01/2025,,BALI,,,PAC09VZI,POLYTRON PAC09VZI,,5,5,SET,GD. UTAMA (BALI) - CBP,PO.2025.01.00126,,,
295,,PT SARANA KENCANA MULYA,RI.2025.01.00152,24/01/2025,,SURABAYA,,,PAC09VH,POLYTRON PAC09VH,,20,20,SET,GD. UTAMA (BALI) - CBP,PO.2025.01.00019,,,
296,,PT SARANA KENCANA MULYA,RI.2025.01.00201,24/01/2025,,BALI,,,PAC18VZ,POLYTRON PAC18VZ,,5,5,SET,GD. UTAMA (BALI) - CBP,PO.2025.01.00126,,,
297,,PT CHANGHONG MEILING ELECTRIC INDONESIA,RI.2025.01.00163,25/01/2025,,SURABAYA,,,CSC05RDX4,CHANGHONG CSC-05RDX4,,6,6,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00120,,,
298,,PT LG ELECTRONICS INDONESIA,RI.2025.01.00164,25/01/2025,,SURABAYA,,,T12EV5,LG T12EV5,,7,7,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00032,,,
299,,PT PANASONIC GOBEL INDONESIA,RI.2025.01.00165,25/01/2025,,SURABAYA,,,CSCUZN5YKP,PANASONIC CS/CU-ZN5YKP,,100,100,SET,GD. UTAMA (SBY) - CBP,PO.2024.12.00081,,,
300,,PT TRIMASTER JAYA ABADI,RI.2025.01.00166,25/01/2025,,SURABAYA,,,GWC18F5S,GREE GWC-18F5S,,1,1,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00129,,,
301,,PT TRIMASTER JAYA ABADI,RI.2025.01.00166,25/01/2025,,SURABAYA,,,GWC07MOO5S,GREE GWC-07MOO5S,,5,5,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00129,,,
302,,PT TRIMASTER JAYA ABADI,RI.2025.01.00166,25/01/2025,,SURABAYA,,,GWC12F5S,GREE GWC-12F5S,,1,1,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00129,,,
303,,PT SHARP ELECTRONICS INDONESIA,RI.2025.01.00167,25/01/2025,,SURABAYA,,,AHA18ZCY,SHARP AH-A18ZCY,,10,10,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00127,,,
304,,PT SHARP ELECTRONICS INDONESIA,RI.2025.01.00168,25/01/2025,,SURABAYA,,,AHA18ZCY,SHARP AH-A18ZCY,,10,10,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00127,,,
305,,PT PUCANGADI JAYA,RI.2025.01.00169,25/01/2025,,BALI,,,GWC05MOO5S,GREE GWC-05MOO5S,,5,5,SET,GD. UTAMA (BALI) - CBP,PO.2025.01.00119,,,
306,,CV JAYA ARTHA SEJAHTERA,RI.2025.01.00170,28/01/2025,,SURABAYA,,,ZUTTO1PK,ZUTTO BRAKET 1 PK,,2600,2600,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00076,,,
307,,PT SAMSUNG ELECTRONICS INDONESIA,RI.2025.01.00171,28/01/2025,,BALI,,,AC071TN4PKC/EA,SAMSUNG AC071TN4PKC/EA,,1,1,SET,GD. UTAMA (BALI) - CBP,PO.2025.01.00121,,,
308,,CV JAYA ARTHA SEJAHTERA,RI.2025.01.00172,28/01/2025,,SURABAYA,,,ZUTTO1PK,ZUTTO BRAKET 1 PK,,2440,2440,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00076,,,
309,,PT SHARP ELECTRONICS INDONESIA,RI.2025.01.00173,28/01/2025,,SURABAYA,,,AHAP9BMY,SHARP AH-AP9BMY,,5,5,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00133,,,
310,,PT SHARP ELECTRONICS INDONESIA,RI.2025.01.00173,28/01/2025,,SURABAYA,,,AHX18ZY,SHARP AH-X18ZY,,8,8,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00133,,,
311,,PT SHARP ELECTRONICS INDONESIA,RI.2025.01.00173,28/01/2025,,SURABAYA,,,AHAP7BMY,SHARP AH-AP7BMY,,5,5,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00133,,,
312,,CV BANDUNG GEMILANG SENTOSA,RI.2025.01.00174,30/01/2025,,SURABAYA,,,GWC07MOO5S,GREE GWC-07MOO5S,,3,3,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00122,,,
313,,CV BANDUNG GEMILANG SENTOSA,RI.2025.01.00174,30/01/2025,,SURABAYA,,,GWC18N1A,GREE GWC-18N1A,,14,14,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00122,,,
314,,CV BANDUNG GEMILANG SENTOSA,RI.2025.01.00174,30/01/2025,,SURABAYA,,,GU140TAK,GREE GU140T/A-K,,1,1,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00122,,,
315,,PT CATURAGA TIARA PERSADA,RI.2025.01.00175,30/01/2025,,SURABAYA,,,CW0501RA,REIWA CW-0501RA,,30,30,UNIT,GD. UTAMA (SBY) - CBP,PO.2025.01.00009,,,
316,,CV BALLY AIRCOND,RI.2025.01.00176,30/01/2025,,BALI,,,,,,10,10,SET,GD. UTAMA (BALI) - CBP,PO.2025.01.00135,,,
317,,CV BALLY AIRCOND,RI.2025.01.00176,30/01/2025,,BALI,,,GWC18N1A,GREE GWC-18N1A,,5,5,SET,GD. UTAMA (BALI) - CBP,PO.2025.01.00135,,,
318,,PT JATIM WATKORAYA,RI.2025.01.00178,30/01/2025,,BALI,,,ETERNA3X2.5MM,"ETERNA 3X2,5MM",,3,3,ROL100,GD. UTAMA (BALI) - CBP,PO.2025.01.00136,,,
319,,PT SHARP ELECTRONICS INDONESIA,RI.2025.01.00177,30/01/2025,,BALI,,,PB40509,"SHARP 1/4""-3/8"" (0,50-0,60)",,1,1,ROL20,GD. UTAMA (BALI) - CBP,PO.2024.10.00178,,,
320,,PT SHARP ELECTRONICS INDONESIA,RI.2025.01.00177,30/01/2025,,BALI,,,PB40509,"SHARP 1/4""-3/8"" (0,50-0,60)",,1,1,ROL20,GD. UTAMA (BALI) - CBP,PO.2024.12.00001,,,
321,,PT SHARP ELECTRONICS INDONESIA,RI.2025.01.00177,30/01/2025,,BALI,,,PB40509,"SHARP 1/4""-3/8"" (0,50-0,60)",,1,1,ROL20,GD. UTAMA (BALI) - CBP,PO.2024.12.00126,,,
322,,PT BERKAT ELEKTRIK SEJATI TANGGUH,RI.2025.01.00179,30/01/2025,,BALI,,,,,,1,1,SET,GD. UTAMA (BALI) - CBP,PO.2025.01.00106,,,
323,,AINUR ROFIQ,RI.2025.01.00180,30/01/2025,,SURABAYA,,,,,,1,1,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00145,,,
324,,PT PUCANGADI JAYA,RI.2025.01.00182,30/01/2025,,BALI,,,GWC05MOO5S,GREE GWC-05MOO5S,,5,5,SET,GD. UTAMA (BALI) - CBP,PO.2025.01.00119,,,
325,,PT SHARP ELECTRONICS INDONESIA,RI.2025.01.00183,30/01/2025,,SURABAYA,,,AHA5BEY,SHARP AH-A5BEY,,50,50,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00133,,,
326,,PT SHARP ELECTRONICS INDONESIA,RI.2025.01.00183,30/01/2025,,SURABAYA,,,AHA7BEY,SHARP AH-A7BEY,,5,5,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00133,,,
327,,PT SHARP ELECTRONICS INDONESIA,RI.2025.01.00183,30/01/2025,,SURABAYA,,,AHA9BEY,SHARP AH-A9BEY,,45,45,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00133,,,
328,,PT SHARP ELECTRONICS INDONESIA,RI.2025.01.00184,30/01/2025,,SURABAYA,,,AHA9BEY,SHARP AH-A9BEY,,10,10,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00133,,,
329,,PT PANASONIC GOBEL INDONESIA,RI.2025.01.00185,30/01/2025,,SURABAYA,,,CSCUPN18AKJ,PANASONIC CS/CU-PN18AKJ,,1,1,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00134,,,
330,,PT PANASONIC GOBEL INDONESIA,RI.2025.01.00185,30/01/2025,,SURABAYA,,,CSCURU12AKJ,PANASONIC CS/CU-RU12AKJ,,1,1,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00134,,,
331,,PT PANASONIC GOBEL INDONESIA,RI.2025.01.00185,30/01/2025,,SURABAYA,,,,,,1,1,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00134,,,
332,,PT AKARI INDONESIA,RI.2025.01.00186,30/01/2025,,SURABAYA,,,A09TC88NLW,AKARI A09TC88NLW,,5,5,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00111,,,
333,,PT AKARI INDONESIA,RI.2025.01.00186,30/01/2025,,SURABAYA,,,A05TC88NLW,AKARI A05TC88NLW,,5,5,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00111,,,
334,,PT AKARI INDONESIA,RI.2025.01.00187,30/01/2025,,SURABAYA,,,A05TC88NLW,AKARI A05TC88NLW,,2,2,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00132,,,
335,,PT AKARI INDONESIA,RI.2025.01.00187,30/01/2025,,SURABAYA,,,A09TC88NLW,AKARI A09TC88NLW,,1,1,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00132,,,
336,,PT SARANA KENCANA MULYA,RI.2025.01.00189,31/01/2025,,MADIUN,,,PCT5032,POLYTRON PCT5032,,2,2,SET,GD. UTAMA (MDN) - CBP,PO.2025.01.00125,,,
337,,PT LG ELECTRONICS INDONESIA,RI.2025.01.00191,31/01/2025,,SURABAYA,,,H05TN4SCAX,LG H05TN4.SCAX,,30,30,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00032,,,
338,,PT LG ELECTRONICS INDONESIA,RI.2025.01.00192,31/01/2025,,SURABAYA,,,H09TN4SCAX,LG H09TN4.SCAX,,15,15,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00032,,,
339,,CV BALLY AIRCOND,RI.2025.01.00193,31/01/2025,,BALI,,,,,,5,5,SET,GD. UTAMA (BALI) - CBP,PO.2025.01.00135,,,
340,,CV BALLY AIRCOND,RI.2025.01.00193,31/01/2025,,BALI,,,GWC18N1A,GREE GWC-18N1A,,5,5,SET,GD. UTAMA (BALI) - CBP,PO.2025.01.00135,,,
341,,PT LG ELECTRONICS INDONESIA,RI.2025.01.00194,31/01/2025,,SURABAYA,,,T18EV5,LG T18EV5,,10,10,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00032,,,
342,,PT LG ELECTRONICS INDONESIA,RI.2025.01.00195,31/01/2025,,SURABAYA,,,H07TN4SCAX,LG H07TN4.SCAX,,10,10,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00007,,,
343,,PT MIDEA PLANET INDONESIA,RI.2025.01.00198,31/01/2025,,SURABAYA,,,MSIAF09CRDN2X,MIDEA MSIAF09CRDN2X,,2,2,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00116,,,
344,,PT MIDEA PLANET INDONESIA,RI.2025.01.00199,31/01/2025,,SURABAYA,,,MSFC05CRN2X,MIDEA MSFC05CRN2X,,10,10,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00024,,,
345,,PT MIDEA PLANET INDONESIA,RI.2025.01.00199,31/01/2025,,SURABAYA,,,MSFC09CRN2X,MIDEA MSFC09CRN2X,,5,5,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00024,,,
346,,PT TRIMASTER JAYA ABADI,RI.2025.01.00188,31/01/2025,,SURABAYA,,,GEVER1438,"GEVER INVERTER 1/4-3/8""",,5,5,ROL30,GD. UTAMA (SBY) - CBP,PO.2025.01.00146,,,
347,,PT TRIMASTER JAYA ABADI,RI.2025.01.00200,31/01/2025,,SURABAYA,,,TAC05CSDXS,TCL TAC05CSD/XS,,5,5,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00141,,,
348,,PT CHANGHONG MEILING ELECTRIC INDONESIA,RI.2025.01.00202,31/01/2025,,SURABAYA,,,CSC18NVB3,CHANGHONG CSC-18NVB3,,5,5,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00006,,,
349,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00203,31/01/2025,,SURABAYA,,,SVC85AYL,DAIKIN SVC85AYL,,1,1,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00138,,,
350,,CV MULTI GUNA SELARAS,RI.2025.01.00204,31/01/2025,,SURABAYA,,,SRK05CR,MITSUBISHI HEAVY INDUSTRIES SRK05CR,,1,1,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00151,,,
351,,CV MULTI GUNA SELARAS,RI.2025.01.00204,31/01/2025,,SURABAYA,,,SRK12CT,MITSUBISHI HEAVY INDUSTRIES SRK12CT,,3,3,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00151,,,
352,,CV MULTI GUNA SELARAS,RI.2025.01.00204,31/01/2025,,SURABAYA,,,SRK18CS,MITSUBISHI HEAVY INDUSTRIES SRK18CS,,2,2,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00151,,,
353,,PT SARANA KENCANA MULYA,RI.2025.01.00205,31/01/2025,,SURABAYA,,,PAC05VH,POLYTRON PAC05VH,,50,50,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00019,,,
354,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00206,31/01/2025,,SURABAYA,,,STC35NV,DAIKIN STC-35NV,,5,5,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00142,,,
355,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00206,31/01/2025,,SURABAYA,,,STC50XV,DAIKIN STC-50XV,,7,7,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00142,,,
356,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00206,31/01/2025,,SURABAYA,,,STC15NV,DAIKIN STC-15NV,,15,15,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00142,,,
357,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00206,31/01/2025,,SURABAYA,,,STC20NV,DAIKIN STC-20NV,,5,5,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00142,,,
358,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00206,31/01/2025,,SURABAYA,,,STKQ15UV,DAIKIN STKQ-15UV,,3,3,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00142,,,
359,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00206,31/01/2025,,SURABAYA,,,STKQ25UV,DAIKIN STKQ-25UV,,3,3,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00142,,,
360,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00206,31/01/2025,,SURABAYA,,,STKQ20UV,DAIKIN STKQ-20UV,,2,2,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00142,,,
361,,PT DAIKIN AIRCONDITIONING INDONESIA,RI.2025.01.00206,31/01/2025,,SURABAYA,,,STV35CXV,DAIKIN STV-35CXV,,2,2,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00142,,,
362,,PT SARANA KENCANA MULYA,RI.2025.01.00207,31/01/2025,,SURABAYA,,,PAC05VZI,POLYTRON PAC05VZI,,11,11,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00148,,,
363,,PT SARANA KENCANA MULYA,RI.2025.01.00207,31/01/2025,,SURABAYA,,,PAC05VZSI,POLYTRON PAC05VZSI,,11,11,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00148,,,
364,,PT SARANA KENCANA MULYA,RI.2025.01.00207,31/01/2025,,SURABAYA,,,PAC09VZI,POLYTRON PAC09VZI,,5,5,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00148,,,
365,,PT SARANA KENCANA MULYA,RI.2025.01.00207,31/01/2025,,SURABAYA,,,PAC09VZSI,POLYTRON PAC09VZSI,,3,3,SET,GD. UTAMA (SBY) - CBP,PO.2025.01.00148,,,
366,,PT PANASONIC GOBEL INDONESIA,RI.2025.01.00208,31/01/2025,,SURABAYA,,,CSCUZN5YKP,PANASONIC CS/CU-ZN5YKP,,50,50,SET,,PO.2025.01.00090,,,
367,,PT PANASONIC GOBEL INDONESIA,RI.2025.01.00208,31/01/2025,,SURABAYA,,,CSCUZN7YKP,PANASONIC CS/CU-ZN7YKP,,50,50,SET,,PO.2025.01.00090,,,
368,,PT PANASONIC GOBEL INDONESIA,RI.2025.01.00208,31/01/2025,,SURABAYA,,,CSCUZN9YKP,PANASONIC CS/CU-ZN9YKP,,50,50,SET,,PO.2025.01.00090,,,
